image,codec,level,bpp,ref_name,base_name,ours_name,num_vote_base,num_vote_ours,psnry_base,psnry_ours,vmaf_base,vmaf_ours,vifp_base,vifp_ours
kodim20,b2018,2,0.0943,kodim20.png,kodim20_b2018_base_2.png,kodim20_b2018_ours_2.png,7,40,29.3642,30.4572,61.4357,71.8198,0.6549,0.7638
kodim20,b2018,3,0.1237,kodim20.png,kodim20_b2018_base_3.png,kodim20_b2018_ours_3.png,31,16,32.1564,31.3581,78.2958,74.7975,0.8010,0.8090
kodim20,b2018,4,0.7291,kodim20.png,kodim20_b2018_base_4.png,kodim20_b2018_ours_4.png,28,19,40.9379,39.6174,95.2017,93.7672,0.9781,0.9800
kodim21,b2017,1,0.0530,kodim21.png,kodim21_b2017_base_1.png,kodim21_b2017_ours_1.png,12,35,24.8033,24.8539,27.6037,29.8154,0.4673,0.4609
kodim21,b2017,2,0.0861,kodim21.png,kodim21_b2017_base_2.png,kodim21_b2017_ours_2.png,22,25,25.9739,25.7246,41.7955,40.4066,0.5782,0.5608
kodim21,b2017,3,0.3379,kodim21.png,kodim21_b2017_base_3.png,kodim21_b2017_ours_3.png,15,32,29.8434,29.7526,70.2304,71.6507,0.8099,0.8179
kodim21,b2017,4,0.4373,kodim21.png,kodim21_b2017_base_4.png,kodim21_b2017_ours_4.png,14,33,30.3576,30.5340,73.2802,77.3085,0.8349,0.8684
kodim21,b2018,1,0.0315,kodim21.png,kodim21_b2018_base_1.png,kodim21_b2018_ours_1.png,5,42,24.0179,24.0908,20.8429,21.0466,0.3931,0.3840
kodim21,b2018,2,0.0805,kodim21.png,kodim21_b2018_base_2.png,kodim21_b2018_ours_2.png,5,42,25.7982,26.1807,42.2274,45.6390,0.5477,0.5919
kodim21,b2018,3,0.1958,kodim21.png,kodim21_b2018_base_3.png,kodim21_b2018_ours_3.png,20,27,29.5767,29.1067,67.7229,66.8796,0.7611,0.7558
kodim21,b2018,4,0.4448,kodim21.png,kodim21_b2018_base_4.png,kodim21_b2018_ours_4.png,18,29,33.4123,32.3888,81.6707,82.9691,0.8805,0.8936
kodim22,b2017,1,0.0319,kodim22.png,kodim22_b2017_base_1.png,kodim22_b2017_ours_1.png,16,31,25.9712,26.0932,18.0585,15.4689,0.3370,0.3336
kodim22,b2017,2,0.0462,kodim22.png,kodim22_b2017_base_2.png,kodim22_b2017_ours_2.png,19,28,26.5732,26.6831,22.9218,26.7837,0.3895,0.3948
kodim22,b2017,3,0.3078,kodim22.png,kodim22_b2017_base_3.png,kodim22_b2017_ours_3.png,13,34,30.9820,31.2566,68.1872,71.3119,0.7514,0.7880
kodim22,b2017,4,0.4581,kodim22.png,kodim22_b2017_base_4.png,kodim22_b2017_ours_4.png,17,30,32.4096,32.6774,76.4108,77.8477,0.8372,0.8549
